City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
16,Kapaa,US,84.2,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
19,Port Blair,IN,82.17,overcast clouds,11.67,92.75,Fortune Resort Bay Island
22,Guerrero Negro,MX,84.02,light rain,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
28,Itarema,BR,77.0,scattered clouds,-2.92,-39.92,Windvillage
29,Port Moresby,PG,80.6,smoke,-9.44,147.18,Lamana Hotel
33,Lynn Haven,US,84.99,light rain,30.25,-85.65,Wingate by Wyndham Panama City Area Lynn Haven
35,Belize,BZ,82.0,broken clouds,17.25,-88.75,Villa San Juan
36,Dingle,PH,75.76,overcast clouds,11.0,122.67,Camp Pasica
37,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
39,Butaritari,KI,83.23,light rain,3.07,172.79,Isles Sunset Lodge
49,Cockburn Town,TC,83.39,clear sky,21.46,-71.14,Osprey Beach Hotel
56,Hasaki,JP,88.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
62,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
80,Atuona,PF,78.39,light rain,-9.8,-139.03,Villa Enata
83,Makakilo City,US,89.6,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
84,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
88,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
90,Puri,IN,77.0,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
94,Jizan,SA,89.6,scattered clouds,17.33,42.67,شهدان. ابوالحجر
98,Boffa,GN,76.14,light rain,10.17,-14.03,Hôtel Niara Belly
100,Hithadhoo,MV,83.12,broken clouds,-0.6,73.08,Scoop Guest House
102,Silva Jardim,BR,75.2,clear sky,-22.65,-42.39,Pousada Ipuca
107,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
108,Neiafu,TO,82.4,broken clouds,-18.65,-173.98,Mystic Sands
112,Yingcheng,CN,82.4,overcast clouds,30.95,113.55,Yingcheng Hotel
113,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
116,Saint Anthony,US,79.0,overcast clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
