City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.29,-156.79,42.8,81,90,10.29,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,39.2,93,90,24.16,overcast clouds
2,Castro,BR,-24.79,-50.01,52.0,96,100,2.15,light rain
3,Avarua,CK,-21.21,-159.78,75.2,78,100,20.8,overcast clouds
4,Mahebourg,MU,-20.41,57.7,68.0,82,75,11.41,shower rain
5,Busselton,AU,-33.65,115.33,51.01,82,78,1.21,light rain
6,Constitucion,CL,-35.33,-72.42,47.89,71,0,6.71,clear sky
7,Ulladulla,AU,-35.35,150.47,55.99,50,20,27.51,few clouds
8,Iskateley,RU,67.68,53.15,49.78,97,83,11.12,broken clouds
9,Punta Arenas,CL,-53.15,-70.92,44.6,75,83,26.4,broken clouds
10,Rikitea,PF,-23.12,-134.97,70.14,86,100,22.26,overcast clouds
11,Aklavik,CA,68.22,-135.01,60.8,72,40,3.36,scattered clouds
12,Airai,TL,-8.93,125.41,68.54,42,5,2.73,clear sky
13,Yumen,CN,40.28,97.2,67.59,34,31,16.49,scattered clouds
14,Severo-Kurilsk,RU,50.68,156.12,54.14,92,100,5.06,overcast clouds
15,Yellowknife,CA,62.46,-114.35,59.0,93,90,5.82,light intensity shower rain
16,Kapaa,US,22.08,-159.32,84.2,66,1,14.99,light rain
17,Nuuk,GL,64.18,-51.72,48.2,81,0,10.29,clear sky
18,Arcata,US,40.87,-124.08,69.01,82,20,5.82,few clouds
19,Port Blair,IN,11.67,92.75,82.17,79,100,14.25,overcast clouds
20,Albany,US,42.6,-73.97,69.01,44,10,1.99,clear sky
21,Vilyuysk,RU,63.76,121.62,50.7,59,0,7.7,clear sky
22,Guerrero Negro,MX,27.98,-114.06,84.02,50,0,17.9,light rain
23,Hermanus,ZA,-34.42,19.23,44.01,93,99,10.11,overcast clouds
24,Nantucket,US,41.28,-70.1,66.0,88,84,3.0,broken clouds
25,Qaanaaq,GL,77.48,-69.36,44.13,90,100,2.06,moderate rain
26,Myitkyina,MM,25.38,97.4,73.69,97,99,0.22,light rain
27,Dikson,RU,73.51,80.55,47.91,75,0,15.61,clear sky
28,Itarema,BR,-2.92,-39.92,77.0,77,35,13.87,scattered clouds
29,Port Moresby,PG,-9.44,147.18,80.6,69,75,5.82,smoke
30,Tiksi,RU,71.69,128.87,39.9,88,98,6.38,overcast clouds
31,Taltal,CL,-25.4,-70.48,53.73,72,6,6.33,clear sky
32,Panguna,PG,-6.32,155.48,82.38,62,21,2.24,few clouds
33,Lynn Haven,US,30.25,-85.65,84.99,78,20,4.7,light rain
34,Talcahuano,CL,-36.72,-73.12,50.0,46,0,9.17,clear sky
35,Belize,BZ,17.25,-88.75,82.0,77,82,3.0,broken clouds
36,Dingle,PH,11.0,122.67,75.76,92,90,5.1,overcast clouds
37,The Valley,AI,18.22,-63.06,84.2,70,20,10.29,few clouds
38,Kieta,PG,-6.22,155.63,85.19,64,16,3.22,few clouds
39,Butaritari,KI,3.07,172.79,83.23,78,27,9.95,light rain
40,Mataura,NZ,-46.19,168.86,55.0,83,33,1.01,scattered clouds
41,Kericho,KE,-0.37,35.28,68.0,94,75,4.12,broken clouds
42,Coquimbo,CL,-29.95,-71.34,51.8,87,0,6.93,clear sky
43,Changli,CN,39.7,119.15,68.56,74,99,9.64,overcast clouds
44,Dzheyrakh,RU,42.82,44.68,55.4,100,6,6.71,clear sky
45,Mercedes,AR,-34.65,-59.43,42.01,78,31,8.9,scattered clouds
46,Malanje,AO,-9.54,16.34,63.84,88,27,5.99,scattered clouds
47,Xingyi,CN,24.19,102.82,60.03,96,22,2.44,few clouds
48,Cherskiy,RU,68.75,161.3,45.1,64,97,7.72,overcast clouds
49,Cockburn Town,TC,21.46,-71.14,83.39,82,1,18.41,clear sky
50,Torbay,CA,47.67,-52.73,64.0,88,75,6.93,broken clouds
51,Ponta Do Sol,PT,32.67,-17.1,73.4,78,40,3.67,scattered clouds
52,Khandyga,RU,62.67,135.6,56.95,49,65,6.98,broken clouds
53,Divnomorskoye,RU,44.5,38.14,68.5,67,0,5.55,clear sky
54,Aketi,CD,2.74,23.78,69.84,95,85,0.94,overcast clouds
55,Vardo,NO,70.37,31.11,54.41,80,40,9.04,scattered clouds
56,Hasaki,JP,35.73,140.83,88.0,70,20,5.82,few clouds
57,Provideniya,RU,64.38,-173.3,59.0,67,40,13.42,scattered clouds
58,Soe,ID,-9.86,124.28,73.11,52,1,3.11,clear sky
59,Emmaus,US,40.54,-75.5,73.4,53,1,6.93,clear sky
60,New Norfolk,AU,-42.78,147.06,51.01,75,69,1.99,broken clouds
61,Saldanha,ZA,-33.01,17.94,42.8,87,57,1.12,broken clouds
62,Touros,BR,-5.2,-35.46,75.2,83,20,4.7,few clouds
63,Namibe,AO,-15.2,12.15,64.04,88,56,1.92,broken clouds
64,Tasiilaq,GL,65.61,-37.64,44.6,75,0,12.75,clear sky
65,Port Alfred,ZA,-33.59,26.89,50.77,73,15,9.15,few clouds
66,Lagoa,PT,39.05,-27.98,68.58,67,67,18.66,broken clouds
67,Port Elizabeth,ZA,-33.92,25.57,48.2,81,22,8.05,few clouds
68,Grand Gaube,MU,-20.01,57.66,66.99,69,26,3.0,scattered clouds
69,Turukhansk,RU,65.82,87.98,60.37,90,100,3.62,light rain
70,Bluff,NZ,-46.6,168.33,55.0,83,58,1.01,broken clouds
71,Taksimo,RU,56.34,114.88,60.73,58,1,2.1,clear sky
72,Vanavara,RU,60.34,102.28,60.17,62,100,4.85,overcast clouds
73,Bambous Virieux,MU,-20.34,57.76,68.0,82,75,11.41,shower rain
74,Lompoc,US,34.64,-120.46,73.4,60,90,11.41,overcast clouds
75,Cidreira,BR,-30.18,-50.21,53.47,74,79,14.12,broken clouds
76,Mar Del Plata,AR,-38.0,-57.56,44.01,64,40,5.82,scattered clouds
77,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,75,10.29,broken clouds
78,Bethel,US,41.37,-73.41,70.0,77,75,4.7,broken clouds
79,Akureyri,IS,65.68,-18.09,46.4,75,1,5.82,clear sky
80,Atuona,PF,-9.8,-139.03,78.39,77,6,17.74,light rain
81,Verkhnyaya Inta,RU,65.98,60.31,48.74,95,48,5.3,scattered clouds
82,Aykhal,RU,66.0,111.5,42.8,87,14,8.95,few clouds
83,Makakilo City,US,21.35,-158.09,89.6,45,75,12.75,broken clouds
84,Georgetown,MY,5.41,100.34,80.6,94,40,4.88,scattered clouds
85,Erenhot,CN,43.65,111.98,61.99,58,0,11.95,clear sky
86,Port Lincoln,AU,-34.73,135.87,55.87,66,20,20.58,few clouds
87,Jamestown,US,42.1,-79.24,64.99,55,1,3.62,clear sky
88,Arraial Do Cabo,BR,-22.97,-42.03,75.2,83,0,11.41,clear sky
89,Dongsheng,CN,39.82,109.98,65.82,60,0,3.87,clear sky
90,Puri,IN,19.8,85.85,77.0,100,90,10.29,light rain
91,Kalabo,ZM,-14.97,22.68,57.45,33,0,7.94,clear sky
92,Lagos,NG,6.58,3.75,78.8,78,20,6.93,few clouds
93,Saint George,US,37.1,-113.58,109.99,10,1,10.29,clear sky
94,Jizan,SA,17.33,42.67,89.6,62,40,5.82,scattered clouds
95,Ribeira Grande,PT,38.52,-28.7,68.94,67,82,16.15,broken clouds
96,East London,ZA,-33.02,27.91,52.74,56,5,5.73,clear sky
97,Clyde River,CA,70.47,-68.59,50.0,87,75,8.05,broken clouds
98,Boffa,GN,10.17,-14.03,76.14,93,100,5.66,light rain
99,Entebbe,UG,0.06,32.45,71.6,83,20,4.7,few clouds
100,Hithadhoo,MV,-0.6,73.08,83.12,67,70,3.02,broken clouds
101,Tuatapere,NZ,-46.13,167.68,55.0,83,56,1.01,broken clouds
102,Silva Jardim,BR,-22.65,-42.39,75.2,83,3,11.41,clear sky
103,Longyearbyen,SJ,78.22,15.64,42.8,70,75,16.11,broken clouds
104,Khatanga,RU,71.97,102.5,52.27,60,55,10.29,broken clouds
105,Cape Town,ZA,-33.93,18.42,54.0,87,40,8.05,scattered clouds
106,Pevek,RU,69.7,170.31,42.3,82,97,1.21,overcast clouds
107,Cayenne,GF,4.93,-52.33,77.0,100,90,10.49,overcast clouds
108,Neiafu,TO,-18.65,-173.98,82.4,78,75,10.29,broken clouds
109,Bredasdorp,ZA,-34.53,20.04,50.0,76,100,1.12,overcast clouds
110,Moi,NO,58.46,6.55,64.99,93,78,3.38,broken clouds
111,Fortuna,US,40.6,-124.16,71.01,33,33,8.01,scattered clouds
112,Yingcheng,CN,30.95,113.55,82.4,83,100,8.95,overcast clouds
113,Banjar,ID,-8.19,114.97,78.8,100,75,14.99,broken clouds
114,Saskylakh,RU,71.92,114.08,43.74,65,100,3.6,overcast clouds
115,Maniitsoq,GL,65.42,-52.9,47.97,73,0,7.36,clear sky
116,Saint Anthony,US,45.02,-93.22,79.0,57,90,9.17,overcast clouds
117,San Ignacio,BZ,17.16,-89.07,87.8,70,40,4.7,thunderstorm
118,Jinxiang,CN,22.86,115.7,82.27,78,91,4.97,overcast clouds
119,Novoagansk,RU,61.94,76.66,51.67,96,11,7.14,few clouds
120,Chifeng,CN,42.27,118.96,61.34,61,82,5.61,broken clouds
121,Bathsheba,BB,13.22,-59.52,80.6,78,40,14.99,shower rain
122,Puerto Ayora,EC,-0.74,-90.35,66.99,94,87,5.99,overcast clouds
123,Evensk,RU,61.95,159.23,52.38,87,100,13.38,light rain
124,Margate,GB,51.38,1.39,68.0,99,97,3.0,overcast clouds
125,Lebu,CL,-37.62,-73.65,45.95,74,0,19.86,clear sky
126,Azogues,EC,-2.73,-78.83,60.8,77,96,11.41,light rain
127,Karoi,ZW,-16.81,29.69,63.09,48,5,8.61,clear sky
128,Jiancheng,CN,30.39,104.55,71.6,100,40,1.86,mist
129,Deputatskiy,RU,69.3,139.9,37.69,78,88,7.31,overcast clouds
130,Buala,SB,-8.14,159.59,85.59,67,91,3.38,overcast clouds
