City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Marystown,CA,2020-08-17 23:27:41,47.17,-55.15,64.0,100,100,7.11
1,Mataura,NZ,2020-08-17 23:27:41,-46.19,168.86,35.01,97,95,4.0
2,Tiksi,RU,2020-08-17 23:27:41,71.69,128.87,45.5,95,100,2.06
3,Barrow,US,2020-08-17 23:27:42,71.29,-156.79,50.0,76,1,19.46
4,Longyearbyen,SJ,2020-08-17 23:27:42,78.22,15.64,44.6,81,75,8.05
5,Constitucion,CL,2020-08-17 23:23:20,-35.33,-72.42,48.96,80,6,11.59
6,Kapaa,US,2020-08-17 23:27:42,22.08,-159.32,86.0,62,20,14.99
7,Sao Borja,BR,2020-08-17 23:24:41,-28.66,-56.0,54.1,73,0,8.05
8,Kangaatsiaq,GL,2020-08-17 23:27:43,68.31,-53.46,47.77,68,61,1.92
9,Avarua,CK,2020-08-17 23:23:20,-21.21,-159.78,73.4,64,24,13.87
10,Banjar,ID,2020-08-17 23:27:43,-8.19,114.97,78.8,100,75,6.93
11,Punta Arenas,CL,2020-08-17 23:25:08,-53.15,-70.92,37.4,64,75,13.87
12,Ushuaia,AR,2020-08-17 23:27:43,-54.8,-68.3,35.6,80,75,14.99
13,Busselton,AU,2020-08-17 23:27:44,-33.65,115.33,52.0,83,96,14.36
14,Jacareacanga,BR,2020-08-17 23:27:44,-6.22,-57.75,84.58,31,0,1.95
15,Tondano,ID,2020-08-17 23:27:44,1.3,124.91,75.2,83,20,3.36
16,Muros,ES,2020-08-17 23:27:44,42.78,-9.06,64.99,94,100,4.56
17,Hithadhoo,MV,2020-08-17 23:27:45,-0.6,73.08,83.5,74,42,6.67
18,Puerto Ayora,EC,2020-08-17 23:27:45,-0.74,-90.35,66.0,93,94,8.01
19,Rikitea,PF,2020-08-17 23:23:04,-23.12,-134.97,71.67,75,19,7.38
20,Gunjur,GM,2020-08-17 23:27:45,13.2,-16.73,80.6,88,40,8.05
21,Lebu,CL,2020-08-17 23:27:45,-37.62,-73.65,49.19,83,57,5.73
22,Sehithwa,BW,2020-08-17 23:27:46,-20.47,22.72,62.47,27,0,4.88
23,Saint-Gabriel,CA,2020-08-17 23:27:46,46.3,-73.38,77.0,7,18,3.0
24,Codrington,AU,2020-08-17 23:27:46,-38.27,141.97,48.96,91,55,12.33
25,Georgetown,MY,2020-08-17 23:27:46,5.41,100.34,77.0,88,20,2.24
26,Vaini,TO,2020-08-17 23:27:47,-21.2,-175.2,75.2,73,75,12.75
27,Yellowknife,CA,2020-08-17 23:26:12,62.46,-114.35,68.0,52,20,6.93
28,Albany,US,2020-08-17 23:26:52,42.6,-73.97,72.0,72,7,4.21
29,Kembe,CF,2020-08-17 23:27:47,4.62,21.89,71.29,93,100,0.72
30,Victor Harbor,AU,2020-08-17 23:27:48,-35.57,138.62,55.99,79,7,1.99
31,Tuktoyaktuk,CA,2020-08-17 23:27:48,69.45,-133.04,53.6,71,90,3.36
32,Upernavik,GL,2020-08-17 23:27:48,72.79,-56.15,46.81,55,100,3.67
33,Thompson,CA,2020-08-17 23:27:48,55.74,-97.86,64.4,55,75,6.93
34,Port Hedland,AU,2020-08-17 23:27:49,-20.32,118.57,59.0,44,0,8.05
35,Palasa,IN,2020-08-17 23:27:49,18.77,84.42,79.21,84,100,5.99
36,Moussoro,TD,2020-08-17 23:27:49,13.64,16.49,85.33,57,44,9.55
37,Berlevag,NO,2020-08-17 23:27:49,70.86,29.09,46.4,81,75,17.22
38,Atuona,PF,2020-08-17 23:27:50,-9.8,-139.03,78.37,76,9,15.41
39,Clyde River,CA,2020-08-17 23:27:50,70.47,-68.59,55.4,76,1,17.22
40,Tuatapere,NZ,2020-08-17 23:27:50,-46.13,167.68,35.01,97,85,4.0
41,Francistown,BW,2020-08-17 23:27:51,-21.17,27.51,52.65,86,0,5.82
42,Katsuura,JP,2020-08-17 23:27:51,35.13,140.3,86.0,79,75,10.29
43,Lasa,IT,2020-08-17 23:27:51,46.62,10.7,55.4,93,40,3.36
44,Port Elizabeth,ZA,2020-08-17 23:27:51,-33.92,25.57,51.8,71,75,34.45
45,Leh,IN,2020-08-17 23:27:51,34.17,77.58,63.73,38,0,5.26
46,Khatanga,RU,2020-08-17 23:27:52,71.97,102.5,58.75,89,100,7.09
47,Severo-Kurilsk,RU,2020-08-17 23:27:52,50.68,156.12,53.15,86,90,2.26
48,Ornskoldsvik,SE,2020-08-17 23:27:52,63.29,18.72,46.4,93,0,3.36
49,Pisco,PE,2020-08-17 23:25:19,-13.7,-76.22,63.0,82,1,12.75
50,New Norfolk,AU,2020-08-17 23:27:53,-42.78,147.06,50.0,91,79,1.01
51,Dali,CN,2020-08-17 23:27:53,25.7,100.18,61.7,91,100,4.05
52,Naivasha,KE,2020-08-17 23:27:53,-0.72,36.44,55.0,86,80,1.99
53,Ambilobe,MG,2020-08-17 23:27:53,-13.2,49.05,64.67,78,0,3.22
54,Moose Factory,CA,2020-08-17 23:27:54,51.26,-80.61,59.0,93,90,2.24
55,Beringovskiy,RU,2020-08-17 23:27:54,63.05,179.32,52.77,80,100,14.63
56,Vestmanna,FO,2020-08-17 23:27:54,62.16,-7.17,50.0,87,1,1.12
57,Butaritari,KI,2020-08-17 23:27:54,3.07,172.79,81.91,63,1,8.68
58,Ajaccio,FR,2020-08-17 23:27:55,42.0,8.92,71.6,73,66,5.82
59,Carauari,BR,2020-08-17 23:24:54,-4.88,-66.9,79.93,76,63,1.5
60,Portland,US,2020-08-17 23:27:49,45.52,-122.68,93.99,31,20,9.17
61,Ponta Do Sol,PT,2020-08-17 23:27:55,32.67,-17.1,73.4,73,20,5.82
62,Machilipatnam,IN,2020-08-17 23:24:07,16.17,81.13,78.78,87,98,10.2
63,Khandyga,RU,2020-08-17 23:27:56,62.67,135.6,52.48,61,100,1.83
